Plant Code,Plant Name,State,County,solar_mw,Latitude,Longitude,landfalls_100km
62772,Coniglio Solar,TX,Fannin,123.6,33.404486,-96.082472,0
62375,"Dougherty County Solar, LLC",GA,Dougherty,120.0,31.512003,-84.044499,0
65319,Maplewood Solar,VA,Pittsylvania,120.0,36.89,-79.32,0
67161,Oak Solar,NC,Northampton,120.0,36.526492,-77.774039,0
60436,East Pecos Solar,TX,Pecos,118.5,31.000883,-102.281744,0
65225,"Waverly Solar, LLC",VA,Sussex,118.0,37.020784,-77.12265,0
63351,Bluebell Solar II,TX,Sterling,115.0,31.888,-100.825,0
63343,Galloway 2 Solar Farm,TX,Concho,110.0,31.446237,-99.902973,0
63233,Emerald Grove,TX,Pecos,108.0,31.09331,-102.35964,0
65376,SR Snipesville II,GA,Jeff Davis,107.0,31.708821,-82.715724,0
